,GEOCODIGO,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,URBANO,DISTRITO,LOC_ZON,SHAPE_Leng,SHAPE_Area,area_m2,area_km2,lon,lat,Cantidad_Shops,Vel_promedio,demanda1,customer1,demanda2,customer2,demanda3,customer3,demanda4,customer4,demanda5,customer5
39,13101091002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,9,2,0.01921411584,1.735502e-05,179071.575403721,0.179071575403721,-70.6624060600585,-33.4353909003339,0,27.3027772967452,171,75,111,86,269,63,126,56,150,52
40,13101091003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,9,3,0.01454076454,1.213524e-05,125211.793577052,0.125211793577052,-70.6667323592382,-33.4363534170225,0,18.0985853467651,105,50,159,55,128,58,133,85,131,60
41,13101091004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,9,4,0.01573235501,1.232084e-05,127130.985636532,0.127130985636532,-70.6667763209081,-33.4335155010658,2,22.3854760302071,105,72,125,76,130,57,130,53,129,75
42,13101101001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,1,0.01651727526,8.27597e-06,85388.8312893242,0.0853888312893242,-70.637840060406,-33.4392513758382,2,14.6537266996003,155,53,120,113,113,66,108,50,143,52
43,13101101002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,2,0.01565043158,1.455603e-05,150181.846279264,0.150181846279264,-70.6363499260513,-33.4407977444972,0,15.6519276282444,146,94,226,59,137,55,140,50,147,83
44,13101101003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,3,0.01088064748,6.0682e-06,62606.9700304899,0.0626069700304899,-70.6356025235155,-33.4431888254433,0,16.6315851660484,101,58,157,50,110,51,139,111,213,69
45,13101101004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,4,0.00847134207,2.61426e-06,26971.548072854,0.026971548072854,-70.6350505545125,-33.4442533949596,0,15.7139861208892,121,61,319,51,117,82,168,54,130,128
46,13101101005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,5,0.00906490395,4.06866e-06,41976.3249251169,0.0419763249251169,-70.6346083504198,-33.4451528783901,2,16.0540170385145,260,52,116,57,152,61,216,57,129,58
47,13101101006,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,6,0.0086647882,3.71321e-06,38308.6554971714,0.0383086554971714,-70.634191860733,-33.4463213958343,4,18.861486144217,220,71,136,68,139,68,185,104,128,75
48,13101101007,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,7,0.00802372043,2.87237e-06,29633.436840208,0.029633436840208,-70.6340372854048,-33.4473822127268,0,17.54127579004,100,60,110,70,100,67,109,63,174,74
49,13101101008,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,8,0.00571924364,2.05459e-06,21196.448607912,0.021196448607912,-70.6327805880705,-33.4483038119773,1,17.697509892103,202,73,110,67,158,54,147,61,190,50
50,13101101009,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,9,0.00626774785,2.40699e-06,24831.8303096668,0.0248318303096668,-70.6342860264357,-33.4486723632168,1,14.7481077668007,113,66,181,77,151,87,248,130,119,51
51,13101101010,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,10,10,0.01194280615,8.25023e-06,85112.2734518915,0.0851122734518915,-70.6329800708384,-33.450452842767,6,19.9479763716298,138,64,213,51,166,76,194,51,100,71
52,13101111001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,1,0.01608495556,1.089792e-05,112437.600850532,0.112437600850532,-70.6409301628744,-33.4420883552916,2,17.9442074883165,140,58,190,133,109,50,122,55,136,104
53,13101111002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,2,0.00709003638,3.08883e-06,31868.0066719219,0.0318680066719219,-70.6439647822161,-33.4434693194327,0,16.1871028735942,126,60,123,55,126,94,168,57,139,78
54,13101111003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,3,0.01038167881,4.9288e-06,50850.7584232402,0.0508507584232402,-70.6451231332458,-33.4443728820932,0,16.1644765287372,101,59,231,87,123,60,101,108,140,123
55,13101111004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,4,0.00884843727,2.88708e-06,29785.2522203382,0.0297852522203382,-70.6441012159424,-33.4471513035377,0,17.8469036772479,104,83,141,61,110,76,161,57,120,57
56,13101111005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,5,0.00478824536,1.37186e-06,14153.2019688764,0.0141532019688764,-70.6432363610689,-33.4466877894422,0,20.7954887528494,183,72,242,56,163,62,212,77,216,87
57,13101111006,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,6,0.00869732367,3.7955e-06,39156.5334345217,0.0391565334345217,-70.6434836432912,-33.4484999641264,0,19.9085370779057,101,85,140,103,113,52,204,59,103,57
58,13101111007,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,7,0.00819690976,3.1929e-06,32939.3462475989,0.0329393462475989,-70.6430283666569,-33.4496743282578,2,19.0549934860435,198,52,181,62,168,70,125,137,117,65
59,13101111008,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,8,0.01199245332,8.76273e-06,90398.1442945318,0.0903981442945318,-70.6426456633095,-33.4516404100394,7,14.0911252180696,121,52,189,51,244,54,168,55,102,60
60,13101111009,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,9,0.01147173832,6.70961e-06,69218.1301449703,0.0692181301449703,-70.6398962211532,-33.4512375499657,8,18.273313654042,124,53,200,74,113,78,118,52,102,50
61,13101111010,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,10,0.00495052933,1.52566e-06,15739.486681811,0.015739486681811,-70.6411363064173,-33.4491354708129,0,20.4864183001469,175,61,141,54,138,52,123,50,102,55
62,13101111011,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,11,0.00722551106,3.01713e-06,31126.1528067989,0.0311261528067989,-70.6396843403369,-33.4493382609095,1,19.0209808046382,185,50,115,50,137,63,106,73,103,58
63,13101111012,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,12,0.01071071514,6.90723e-06,71260.1940140027,0.0712601940140027,-70.6410498730474,-33.4471009037405,1,16.7031711136902,152,63,186,77,113,57,166,72,112,50
64,13101111013,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,13,0.01238135291,8.34257e-06,86070.608857454,0.0860706088574539,-70.6423274533583,-33.4447679003919,2,16.3313019471551,102,64,115,56,124,61,108,56,134,109
65,13101111014,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,14,0.01125783541,6.34189e-06,65430.1131927416,0.0654301131927416,-70.6391486579245,-33.4440623471292,0,17.0295947749391,142,106,161,77,205,72,374,60,143,69
66,13101111015,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,15,0.0111662028,5.27996e-06,54472.9428767019,0.0544729428767019,-70.6379839751,-33.445604709727,2,16.5533513663608,203,56,223,57,144,66,129,85,210,73
67,13101111016,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,16,0.00703083105,2.82015e-06,29094.8254223622,0.0290948254223622,-70.6391693735347,-33.4468900512603,0,12.1663155950669,178,75,128,52,137,60,116,63,236,52
68,13101111017,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,17,0.00982584532,4.63692e-06,47837.8379583117,0.0478378379583117,-70.636750634158,-33.4472754461476,0,16.4700171175365,145,71,130,65,177,63,151,74,166,68
69,13101111018,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,18,0.00993438212,5.7009e-06,58813.6066485324,0.0588136066485324,-70.6378278968118,-33.4489207263466,1,20.3295638847892,173,55,116,56,148,59,119,88,210,53
70,13101111019,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,11,19,0.01457285233,9.25907e-06,95519.6995304751,0.0955196995304751,-70.6363782532985,-33.4505042939368,3,16.5173477129905,120,85,109,65,110,75,119,68,137,69
71,13101121001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,1,0.01900443966,1.583405e-05,163360.454736663,0.163360454736663,-70.6483355349817,-33.4447141811386,2,17.2411814692526,118,63,154,70,106,83,114,131,205,70
72,13101121002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,2,0.01447024226,9.04992e-06,93365.6316428685,0.0933656316428685,-70.6494384108866,-33.4472468448483,5,13.1125208442549,216,74,113,58,138,51,132,62,112,96
